"","Day","S","E","I","R"
"307",307,88656.639306177,509.123585051149,513328.617562987,-502494.380454215
"308",308,94072.3954699811,507.314823124524,509673.338448753,-504253.048741859
"309",309,99139.7080745471,505.497137854352,510546.859966919,-510192.06517932
"310",310,75481.5261427726,503.670733388987,506874.48376665,-482859.680642811
"311",311,80231.2216757422,501.835813467324,505694.113405175,-486427.170894385
"312",312,81650.0380122485,499.992581379654,502679.938677641,-484829.969271269
"313",313,77426.118475214,498.141239929094,499972.019679912,-477896.279395055
"314",314,76247.2911927635,496.281991393603,498177.053663358,-474920.626847515
"315",315,87326.1875131316,494.415037488599,497119.857222124,-484940.459772745
"316",316,95530.3307606845,492.540579330169,494077.90690776,-490100.778247774
"317",317,81679.847410425,490.658817398891,492405.431500956,-474575.93772878
"318",318,71301.9886239459,488.769951504267,493212.256909267,-465003.015484717
"319",319,76734.4224035632,486.874180749777,490537.412575689,-467758.709160002
"320",320,84912.5935339559,484.97170349856,486361.828503047,-471759.393740502
"321",321,94545.4267331802,483.062717339716,485636.742010955,-480665.231461475
"322",322,91352.1306282354,481.147419055252,484358.439607658,-476191.717654949
"323",323,81581.5948166172,479.226004587658,482216.209283134,-464277.030104339
"324",324,92287.6187144803,477.298669008132,479738.750797238,-472503.668180726
"325",325,107568.316450987,475.365606485442,476436.147114537,-484479.82917201
"326",326,92678.3846583644,473.427010255442,476365.713745351,-469517.52541397
"327",327,79586.4749305462,471.483072591238,474254.029007603,-454311.98701074
"328",328,74108.0666931413,469.533984774005,471384.778740511,-445962.379418426
"329",329,70580.5572087281,467.579937064456,470365.961511791,-441414.098657584
"330",330,71447.2540990919,465.621118674976,468666.589507963,-440579.46472573
"331",331,82442.4239413154,463.657717742403,465466.29649681,-448372.378155867
"332",332,75091.8829641903,461.689921301474,461620.032438628,-437173.605324119
"333",333,65506.2007805292,459.717915258927,460475.520921528,-426441.439617316
"334",334,65379.9958389121,457.741884368262,458244.007793609,-424081.745516889
"335",335,74891.9203101186,455.76201220516,457084.725744822,-432432.408067146
"336",336,75161.7140082561,453.778481143563,455997.540401769,-431613.032891168
"337",337,74479.2253961547,451.791472332403,452793.72282836,-427724.739696847
"338",338,87111.7866722671,449.801165672998,449837.224542444,-437398.812380384
"339",339,81440.3299241217,447.807739797094,447115.132203536,-429003.269867455
"340",340,72572.7909936596,445.811372045566,446325.531350174,-419344.133715879
"341",341,60061.2156903132,443.81223844776,445888.296274772,-406393.324203533
"342",342,54830.3349118454,441.810513701498,443836.711748782,-399108.857174329
"343",343,55539.5437635703,439.806371153713,442274.281499346,-398253.63163407
"344",344,67341.3456759593,437.799982781742,440726.889637693,-408506.035296434
"345",345,59372.3432418838,435.791519175246,437274.863608252,-397082.998369311
"346",346,66537.8584485736,433.781149518774,436197.506419461,-403169.146017553
"347",347,71745.910833264,431.769041574959,432784.138688763,-404961.818563602
"348",348,67086.3578358673,429.755361668338,430906.451482451,-398422.564679986
"349",349,70065.1392300795,427.740274669806,428018.183430483,-398511.062935232
